"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"2018-11-06",4.9,5,40,7,17666.6666666667,1,0.3,23.6,277,38.263860774535
"2019-01-15",5.6,6,55,6.8,29000,0.8,0.4,27.3,184,44.6077305173136
"2019-03-12",6.5,10,380,6.7,39100,0.5,0.4,24.7,406,12.804586107452
"2019-05-07",5.4,2,16,7,4101,1.19,0.4,22.9,198,47.3641064640663
"2019-07-15",5.6,2,13,7.1,8400,1.68,0.4,18.4,231,44.5596922170603
"2019-09-11",5,9,12,6.9,10233.3333333333,4,0.5,25.3,269,43.6361004838917
"2019-11-26",4.9,8,80,6.9,236433.333333333,2,0.4,25.1,311,38.8319979286382
"2020-02-12",6.9,5,230,6.7,79100,1,0.3,23.5,342,18.4706893315156
"2020-06-24",3.9,5,9.7,6.9,7533.33333333333,4,0.4,19.2,229,35.9299001954077
"2020-08-19",3,6,34,6.5,539766.666666667,6,0.9,20,318,26.281710313945
"2020-10-27",3.4,11.3333333333333,11,7.3,539766.666666667,6,0.6,25.8,330,31.0826168685227
"2021-02-24",4.6,7,22,6.5,11100,0.7,0.5,28.2,167,42.9959496605803
"2021-06-08",4.4,7.66666666666667,10,6.9,5433.33333333333,2.7,0.4,20.6,277,43.9930713623267
"2021-08-16",3.5,6.66666666666667,6.3,7.2,537766.666666667,4.3,0.6,21,316,31.6914212778708
"2021-11-08",5,12,23,6.8,539766.666666667,1.4,0.4,26.6,301,37.3703563556184
